tic_id,label,period_days,t0_bjd
184952758,0,,
305506996,1,2.3682389,2459817.689666
89759617,0,,
58824746,1,10.2829583,2459449.353563
147576037,0,,
99330090,0,,
198356533,1,18.840891,2460660.183368
428699140,1,1.9268037,2459332.242276
373614579,0,,
321436679,0,,
287329267,0,,
358107516,1,11.9124942,2459041.912359
170103435,0,,
233503636,0,,
445751830,1,3.4391954,2459911.667339
445137888,0,,
238162973,0,,
178709444,1,3.4716808,2459329.505631
20178111,0,,
198008005,1,3.2797206,2459088.312108
28873762,0,,
247873937,0,,
427352241,0,,
369480087,0,,
155044736,0,,
370877263,0,,
62483237,1,11.0708575,2458334.891563
55383975,0,,
376524552,1,3.7130701,2459661.050292
207110080,1,14.5728985,2459133.407241
144700903,1,2.32664,2458470.580837
254113311,1,8.34998,2460144.137122
332558858,1,13.3368173,2459168.5071
224313733,0,,
73649615,1,1.2392569,2458570.647157
31697707,0,,
90504905,0,,
220016044,0,,
439867639,1,0.3711334,2458411.217326
178162579,1,3.5514016,2459225.449603
120896927,1,4.7559737,2459139.126535
157698565,1,61.6277,2459973.640012
278199349,0,,
154872375,1,8.0277326,2460658.97426
317507345,0,,
467651916,1,3.9813082,2460655.201888
232540264,1,15.9234883,2460311.844914
1528696,1,0.8820624,2458438.402842
463203560,0,,
8967242,1,7.093853,2458904.815773
9006668,1,1.2730965,2460205.747992
73723286,0,,
166648874,1,15.1512051,2458909.543414
230086768,0,,
229742722,1,63.4839358,2460503.687053
384045439,0,,
436873727,1,22.0933922,2460239.908686
289125016,0,,
360156606,1,27.3613778,2458617.479256
21755546,0,,
400476523,0,,
260849386,0,,
158002130,1,9.6867516,2460473.411486
207084429,0,,
408159788,0,,
197650870,0,,
154459165,0,,
7548817,1,4.52074,2459735.896093
236387002,1,7.2008611,2460442.055186
219401954,0,,
106997505,0,,
160074939,0,,
76923707,1,4.5320502,2458358.118263
418959198,0,,
155947004,0,,
360286627,0,,
313506357,0,,
249067445,0,,
116257066,0,,
335630746,1,4.6336155,2459574.942709
10974783,0,,
399642071,0,,
264303333,0,,
269701147,1,8.8803281,2460651.26694
49899799,0,,
24358417,1,22.6539607,2459183.68068
98613492,0,,
206541859,1,30.083503,2459064.11893
320536216,0,,
31656385,0,,
403224672,1,1.0082361,2460178.671412
313891529,0,,
467331291,1,3.3207642,2459913.520622
292321872,0,,
250484865,0,,
96097215,0,,
429358906,1,8.0239811,2458577.042174
71431780,1,13.7270395,2460307.768558
439456714,1,3.9934418,2458385.036312
357972447,0,,
19451711,0,,
146846569,0,,
259863352,0,,
267561446,0,,
31858844,0,,
317397615,0,,
219824469,0,,
387079085,0,,
348755723,0,,
27844066,0,,
151959065,0,,
153651591,0,,
257605131,1,16.364873,2458416.634939
391949880,1,4.9404714,2460175.867159
188593930,0,,
207141131,1,4.1374379,2458354.588198
376981340,0,,
412257781,0,,
287156968,1,25.0571312,2458620.316686
333473672,1,13.001789,2459864.063759
202468443,0,,
127530399,1,1.0115336,2458597.575673
260647166,1,14.1758947,2459308.481159
48103627,1,4.5696698,2459283.031579
161477033,0,,
344926234,0,,
68322189,0,,
279605855,0,,
89020549,1,2.1096805,2458326.904918
155491828,0,,
297153209,0,,
408618999,1,7.0731057,2460660.093314
350348197,1,6.7535728,2460285.356746
300599466,0,,
365952328,0,,
154716798,1,12.6396982,2459604.095801
8348911,1,2.326343,2458957.9252
309257814,0,,
141488193,1,56.4043748,2459031.931632
275384718,0,,
220435095,0,,
90448944,0,,
49710555,0,,
17129975,0,,
395393265,1,3.3772835,2459883.441847
410214986,1,8.1382222,2458332.308323
290348383,1,6.441006,2460140.220927
22843856,0,,
178155732,1,5.9739124,2459120.537697
468977648,0,,
